n,v0,b1,b2,b3,b4
10,4.277,16.024072216649948,8.99099099099099,13.245490981963927,8.89089089089089
100,61.55790533736153,151.379,82.74872318692543,103.71085594989562,81.08044806517312
1000,304.5525,1471.7058823529412,767.5735294117648,969.5851851851852,745.2401960784314
10000,2964.1111111111113,14807.0,7680.75,9812.0,7487.994382022472
100000,44811.0,149102.0,78012.0,98026.0,75406.0
1000000,1.3307755e6,1.877302e6,987600.0,1.332803e6,955538.5
10000000,5.5505985e7,3.8662511e7,2.39239515e7,2.5323013e7,2.3194215e7
100000000,1.12399778e9,1.867030762e9,1.069688459e9,1.178760959e9,1.005423886e9
1000000000,2.1064674129e10,2.0017755213e10,1.3788249732e10,2.4828660778e10,2.3077459676e10
